1HFSC47491A0,Honda,750 cc or greater
1HD1GDL13VY3,Harley-Davidson,750cc or greater
1XPGDU9X84D8,Peterbilt,Medium/Heavy - CBE
1LNHM81W94Y6,Lincoln,Continental (thru '81)/ Town Car
4V2DC6UE11N3,Volvo,Medium/Heavy - COE low entry
CJ2A17180,Jeep / Kaiser-Jeep / Willys- Jeep,Other (light truck)
2T1FF28P51C4,Toyota,Camry
2B4GP44G51R1,Dodge,Caravan/Grand Caravan
1HTMMAAL75H1,International Harvester/Navistar,Medium/Heavy - CBE
1FMZU62KX4ZA,Ford,Bronco (thru 1977)/Bronco II/Explorer/Explorer Sport
1G1ZS52F55F3,Chevrolet,Malibu/Malibu Maxx
KMHCN46C39U3,Hyundai,Accent
KMHCM36C48U0,Hyundai,Accent
1HGCG16582A0,Honda,Accord
CCD14AF35831,Chevrolet,"C, K, R, V-series pickup/Silverado"
2CNBJ1861T69,Chevrolet,Geo Tracker/Tracker
1GTEK19T6XZ5,GMC,"C, K, R, V-series pickup/     Sierra"
2GTDC14HXE15,GMC,"C, K, R, V-series pickup/     Sierra"
JTEBU11F5700,Toyota,FJ Cruiser
1N4DL01D5XC2,Datsun/Nissan,Altima
1G2PE11R9HP2,Pontiac,Fiero
1GNEC13Z83R1,Chevrolet,Fullsize Blazer/Tahoe
1FUJA6CV56LV,Freightliner,Medium/Heavy – COE high entry
1FTRW08L61KB,Ford,F-Series pickup
1FTNW20S1XEC,Ford,F-Series pickup
2HGED7367LH5,Honda,"Civic/CRX, del Sol"
3N1CB51D53L7,Datsun/Nissan,Sentra
3VWCA21C1YM4,Volkswagen,New Beetle
1G8CS18B6F81,Chevrolet,"S-10 Blazer/TrailBlazer (2002 only; for 2003 on, see 403)"
1G1BL517XKR1,Chevrolet,Impala/Caprice
3C4FY48BX3T5,Chrysler,PT Cruiser
1FMSU41P44EA,Ford,Excursion
1GYEE6375401,Cadillac,SRX
1FAHP2FW1AG1,Ford,Taurus/Taurus X
AZ272101,Chevrolet,"S-10 Blazer/TrailBlazer (2002 only; for 2003 on, see 403)"
1HGCM71264A0,Honda,Accord
9BPRLFAUNNB0,Other Make,DINA
1FTDX1724VKC,Ford,F-Series pickup
2HKRL18691H5,Honda,Odyssey
1HGCM72307A0,Honda,Accord
1G1JC12F1371,Chevrolet,Cavalier
1FAFP53U53G2,Ford,Taurus/Taurus X
3N1CB51D75L5,Datsun/Nissan,Sentra
1FAFP34N26W1,Ford,Focus
WBXPA73444WC,BMW,X3
4T3ZK11AX9U0,Toyota,Venza
1B3ES47C7XD1,Dodge,Neon
1B3AP28D2RN1,Dodge,Shadow
1G8ZK5270SZ2,Saturn,SL
2FWBA3BD61AH,Other Make,Sterling
JS1GN7BA8321,Suzuki,450-749cc
1GCCS19X7381,Chevrolet,S-10/T-10 Pickup
JTDBR32EX701,Toyota,Corolla
5N1ED28Y13C6,Datsun/Nissan,Xterra
1FMPU13575LA,Ford,Expedition
1FTNF20S4XEB,Ford,F-Series pickup
2C1MR226XS67,Chevrolet,Geo Metro/Metro
1GCEC14C17E5,Chevrolet,"C, K, R, V-series pickup/Silverado"
1N4AL21E79N5,Datsun/Nissan,Altima
1HGCG56772A1,Honda,Accord
1FMCU03143KA,Ford,Escape
1GTHG39U8512,GMC,G-series van/Savana
2C4GP54L85R2,Chrysler,Town and Country
1FDZW90W8FVA,Ford,Medium/Heavy – CBE
JTDJT903X952,Toyota,Yaris
1HGCG16541A0,Honda,Accord
JN8AZ08W76W5,Datsun/Nissan,Murano
3B7KF2667WM2,Dodge,Ram Pickup
2GCEC19J5715,Chevrolet,"C, K, R, V-series pickup/Silverado"
2HKYF18466H5,Honda,Pilot
3D7MU48C13G8,Dodge,"Medium/Heavy Pickup (pickup-style only – over 10,000 lbs)"
1D7HA16K47J5,Dodge,Ram Pickup
1HD1GM4117K3,Harley-Davidson,750cc or greater
1HFSC1429FA1,Honda,750 cc or greater
F37SKFC1482,Ford,F-Series pickup
2FTJW36G4LCB,Ford,F-Series pickup
000000000000,Other Make,0-50cc
3B7KF23D2VM5,Dodge,Ram Pickup
1FTPX14515NB,Ford,F-Series pickup
WAUAF78E37A1,Audi,A4
5N1AA08A45N7,Datsun/Nissan,Pathfinder Armada
1G8ZK5271XZ1,Saturn,SL
5HD1FC4188Y6,Harley-Davidson,750cc or greater
1N4BU31DXVC1,Datsun/Nissan,Altima
3B7HF13Z9SM1,Dodge,Ram Pickup
JM1TA2218Y16,Mazda,Millenia
2G1WL52M7V93,Chevrolet,Lumina
2MELM74W7VX6,Mercury,Marquis/Monterey (car version; for van version 2004 on see code 444) /Grand Marquis
1FBNE31L97DA,Ford,E-Series Van/Econoline
JS1VP52A9121,Suzuki,450-749cc
JTEHF21A9100,Toyota,Highlander
JN8AZ08T64W2,Datsun/Nissan,Murano
1FTWW33Y88EA,Ford,"Medium/Heavy Pickup (pickup-style only - over 10,000 lbs)"
1FTRX17L1XKB,Ford,F-Series pickup
KMHCG45C25U6,Hyundai,Accent
JN1EJ01P3NT1,Datsun/Nissan,810/Maxima
1G4HR54K12U2,Buick / Opel,"LeSabre/Centurion/ Estate Wagon, Invicta, Custom, Limited, T-Type, Ltd, C.M.I, LE"
1B7HW24T8HS4,Dodge,"D, W-Series pickup"
3B7HF12Z5WG1,Dodge,Ram Pickup
4S3BH6751476,Subaru,Outback (2003 on)(see 034 for prior to 2003)
2MEFM75WX1X6,Mercury,Marquis/Monterey (car version; for van version 2004 on see code 444) /Grand Marquis
JH2SC59068M0,Honda,750 cc or greater
2GCEC19T3112,Chevrolet,"C, K, R, V-series pickup/Silverado"
