detail_id,detail_information,light_condition,road_function,intersection_type,drunk_driving
72935,Rollover/Overturn,Dark - Not Lighted,Rural-Major Collector,Not an Intersection,t
72936,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
72937,Parked Motor Vehicle ,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
72938,Rollover/Overturn,Dark - Not Lighted,Rural-Local Road or Street,Not an Intersection,f
72939,Motor Vehicle In-Transport ,Daylight,Rural-Minor Arterial,Four-Way Intersection,f
72940,Tree (Standing Only),Dark - Not Lighted,Rural-Local Road or Street,Not an Intersection,f
72941,Tree (Standing Only),Dark - Lighted,Rural-Major Collector,Not an Intersection,f
72942,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Four-Way Intersection,f
72943,Motor Vehicle In-Transport ,Dark - Not Lighted,Urban-Principal Arterial-Interstate,Not an Intersection,t
72944,Rollover/Overturn,Dark - Not Lighted,Rural-Major Collector,Not an Intersection,f
72945,Motor Vehicle In-Transport ,Daylight,Urban-Local Road or Street,Not an Intersection,f
72946,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Local Road or Street,Not an Intersection,f
72947,Rollover/Overturn,Daylight,Rural-Local Road or Street,Not an Intersection,f
72948,Rollover/Overturn,Dark - Not Lighted,Rural-Local Road or Street,T-Intersection,t
72949,Embankment,Daylight,Rural-Minor Arterial,Not an Intersection,f
72950,Utility Pole/Light Support,Dark - Lighted,Urban-Principal Arterial-Interstate,Not an Intersection,t
72951,Motor Vehicle In-Transport ,Daylight,Urban-Local Road or Street,Four-Way Intersection,f
72952,Embankment,Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
72953,Motor Vehicle In-Transport ,Daylight,Rural-Major Collector,Four-Way Intersection,f
72954,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
72955,Live Animal,Dark - Not Lighted,Rural-Principal Arterial-Other,Not an Intersection,f
72956,Motor Vehicle In-Transport ,Dark - Not Lighted,Urban-Local Road or Street,Not an Intersection,t
72957,Rollover/Overturn,Daylight,Rural-Local Road or Street,Not an Intersection,f
72958,Motor Vehicle In-Transport ,Daylight,Urban-Local Road or Street,Four-Way Intersection,f
72959,Motor Vehicle In-Transport ,Daylight,Rural-Major Collector,Four-Way Intersection,t
72960,Embankment,Dark - Not Lighted,Urban-Local Road or Street,Not an Intersection,t
72961,Rollover/Overturn,Dark - Not Lighted,Rural-Major Collector,Not an Intersection,f
72962,Embankment,Dark - Not Lighted,Rural-Local Road or Street,Not an Intersection,t
72963,Embankment,Daylight,Rural-Major Collector,Not an Intersection,f
72964,Utility Pole/Light Support,Dusk,Rural-Principal Arterial-Other,Not an Intersection,f
72965,Embankment,Dark - Not Lighted,Rural-Minor Arterial,Not an Intersection,t
72966,Embankment,Daylight,Rural-Local Road or Street,Not an Intersection,f
72967,Embankment,Dark - Not Lighted,Urban-Local Road or Street,Not an Intersection,f
72968,Motor Vehicle In-Transport ,Dark - Lighted,Rural-Minor Arterial,Four-Way Intersection,f
72969,Pedestrian,Dark - Lighted,Urban-Local Road or Street,Not an Intersection,f
72970,Guardrail Face,Dark - Not Lighted,Rural-Major Collector,T-Intersection,t
72971,Motor Vehicle In-Transport ,Daylight,Rural-Major Collector,Four-Way Intersection,f
72972,Utility Pole/Light Support,Dark - Lighted,Rural-Minor Arterial,Not an Intersection,t
72973,Rollover/Overturn,Dusk,Rural-Principal Arterial-Interstate,Not an Intersection,f
72974,Parked Motor Vehicle ,Dark - Not Lighted,Urban-Principal Arterial-Interstate,Not an Intersection,f
72975,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Major Collector,Not an Intersection,f
72976,Utility Pole/Light Support,Daylight,Rural-Local Road or Street,T-Intersection,f
72977,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Minor Arterial,Four-Way Intersection,f
72978,Utility Pole/Light Support,Daylight,Urban-Local Road or Street,Not an Intersection,f
72979,Pedestrian,Dark - Not Lighted,Urban-Local Road or Street,Four-Way Intersection,f
72980,Snow Bank,Dark - Not Lighted,Rural-Principal Arterial-Other,Four-Way Intersection,f
72981,Rollover/Overturn,Daylight,Rural-Local Road or Street,Not an Intersection,f
72982,Pedestrian,Dark - Not Lighted,Urban-Minor Arterial,Not an Intersection,f
72983,Pedestrian,Dark - Lighted,Urban-Collector,Not an Intersection,f
72984,Motor Vehicle In-Transport ,Daylight,Rural-Minor Arterial,Not an Intersection,f
72985,Motor Vehicle In-Transport ,Daylight,Urban-Local Road or Street,Four-Way Intersection,f
72986,Bridge Rail (Includes parapet),Dawn,Rural-Local Road or Street,T-Intersection,t
72987,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Four-Way Intersection,f
72988,Motor Vehicle In-Transport ,Dark - Lighted,Rural-Minor Arterial,Not an Intersection,f
72989,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Four-Way Intersection,f
72990,Ditch,Dark - Not Lighted,Rural-Minor Collector,Not an Intersection,t
72991,"Other Post, Other Pole or Other Supports",Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
72992,Ditch,Dark - Not Lighted,Rural-Local Road or Street,Not an Intersection,t
72993,Rollover/Overturn,Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
72994,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Not an Intersection,f
72995,Ditch,Dark - Not Lighted,Rural-Minor Arterial,Not an Intersection,t
72996,Rollover/Overturn,Dark - Not Lighted,Rural-Minor Arterial,Not an Intersection,f
72997,Culvert,Daylight,Rural-Local Road or Street,Not an Intersection,f
72998,Ditch,Dark - Not Lighted,Rural-Principal Arterial-Interstate,Not an Intersection,f
72999,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Local Road or Street,Not an Intersection,f
73000,Rollover/Overturn,Daylight,Rural-Local Road or Street,Not an Intersection,f
73001,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Principal Arterial-Other,Four-Way Intersection,t
73002,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
73003,Rollover/Overturn,Dark - Not Lighted,Rural-Principal Arterial-Interstate,Not an Intersection,t
73004,Railway Vehicle,Daylight,Rural-Local Road or Street,Not an Intersection,f
73005,Ditch,Dark - Not Lighted,Rural-Minor Arterial,Not an Intersection,t
73006,Guardrail Face,Dark - Lighted,Rural-Principal Arterial-Other,Not an Intersection,f
73007,Pedestrian,Daylight,Urban-Local Road or Street,Not an Intersection,f
73008,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Four-Way Intersection,f
73009,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Principal Arterial-Other,Not an Intersection,f
73010,Pedestrian,Dark - Not Lighted,Rural-Principal Arterial-Other,Not an Intersection,t
73011,Pedestrian,Dark - Lighted,Urban-Minor Arterial,Not an Intersection,f
73012,Pedalcyclist,Daylight,Urban-Other Principal Arterial,Four-Way Intersection,f
73013,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
73014,Concrete Traffic Barrier,Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
73015,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Principal Arterial-Other,Four-Way Intersection,t
73016,Motor Vehicle In-Transport ,Daylight,Rural-Minor Arterial,Not an Intersection,f
73017,Ground,Dark - Not Lighted,Rural-Minor Arterial,Not an Intersection,f
73018,Motor Vehicle In-Transport ,Daylight,Rural-Minor Collector,Four-Way Intersection,f
73019,Fell/Jumped from Vehicle,Dark - Lighted,Urban-Minor Arterial,Not an Intersection,f
73020,"Other Post, Other Pole or Other Supports",Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
73021,Motor Vehicle In-Transport ,Daylight,Rural-Local Road or Street,Four-Way Intersection,f
73022,Rollover/Overturn,Daylight,Rural-Major Collector,Not an Intersection,f
73023,"Other Post, Other Pole or Other Supports",Dark - Not Lighted,Rural-Major Collector,Not an Intersection,t
73024,Live Animal,Dark - Not Lighted,Rural-Principal Arterial-Other,Not an Intersection,f
73025,Pedestrian,Dark - Not Lighted,Rural-Principal Arterial-Other,Not an Intersection,f
73026,Non-Motorist on Personal Conveyance,Daylight,Urban-Local Road or Street,T-Intersection,f
73027,Pedestrian,Daylight,Urban-Other Principal Arterial,Not an Intersection,f
73028,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Four-Way Intersection,f
73029,Motor Vehicle In-Transport ,Dawn,Rural-Minor Arterial,Not an Intersection,f
73030,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
73031,Motor Vehicle In-Transport ,Daylight,Rural-Minor Arterial,Four-Way Intersection,f
73032,Tree (Standing Only),Dark - Not Lighted,Rural-Major Collector,Not an Intersection,t
73033,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Principal Arterial-Other,Not an Intersection,f
73034,Ditch,Dark - Not Lighted,Rural-Local Road or Street,Not an Intersection,f
73035,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
73036,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
73037,Guardrail Face,Daylight,Rural-Principal Arterial-Other,Not an Intersection,t
73038,Motor Vehicle In-Transport ,Daylight,Rural-Minor Arterial,Not an Intersection,f
73039,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Principal Arterial-Other,Not an Intersection,f
73040,Ground,Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
73041,Tree (Standing Only),Dawn,Rural-Local Road or Street,Not an Intersection,f
73042,Motor Vehicle In-Transport ,Daylight,Urban-Collector,Four-Way Intersection,f
73043,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
73044,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,T-Intersection,f
73045,Guardrail Face,Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
73046,Motor Vehicle In-Transport ,Dark - Lighted,Rural-Major Collector,Four-Way Intersection,f
73047,Rollover/Overturn,Daylight,Rural-Local Road or Street,Not an Intersection,f
73048,Motor Vehicle In-Transport ,Dark - Lighted,Rural-Minor Arterial,Four-Way Intersection,f
73049,Motor Vehicle In-Transport ,Daylight,Rural-Minor Arterial,T-Intersection,f
73050,Motor Vehicle In-Transport ,Daylight,Rural-Minor Collector,Not an Intersection,f
73051,Embankment,Dark - Lighted,Rural-Major Collector,Not an Intersection,t
73052,Motor Vehicle In-Transport ,Daylight,Rural-Minor Arterial,Not an Intersection,f
73053,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,t
73054,Motor Vehicle In-Transport ,Daylight,Rural-Local Road or Street,Not an Intersection,f
73055,Concrete Traffic Barrier,Dark - Lighted,Urban-Principal Arterial-Interstate,Not an Intersection,f
73056,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Minor Arterial,Not an Intersection,f
73057,Pedestrian,Dark - Lighted,Urban-Local Road or Street,T-Intersection,f
73058,Motor Vehicle In-Transport ,Daylight,Rural-Local Road or Street,Four-Way Intersection,f
73059,Non-Motorist on Personal Conveyance,Daylight,Urban-Other Principal Arterial,Not an Intersection,f
73060,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
73061,Embankment,Daylight,Rural-Major Collector,Not an Intersection,f
73062,Embankment,Daylight,Rural-Minor Arterial,Not an Intersection,f
73063,Pedestrian,Dark - Not Lighted,Rural-Local Road or Street,Not an Intersection,t
73064,Tree (Standing Only),Daylight,Urban-Collector,T-Intersection,f
73065,Rollover/Overturn,Dusk,Rural-Major Collector,Not an Intersection,t
73066,Motor Vehicle In-Transport ,Daylight,Rural-Major Collector,Four-Way Intersection,f
73067,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Principal Arterial-Other,Not an Intersection,t
73068,Mail Box,Daylight,Rural-Major Collector,Not an Intersection,f
73069,Rollover/Overturn,Daylight,Rural-Major Collector,Not an Intersection,f
73070,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Four-Way Intersection,f
73071,Traffic Sign Support ,Daylight,Rural-Minor Arterial,Not an Intersection,f
73072,"Other Post, Other Pole or Other Supports",Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
73073,Guardrail Face,Dark - Not Lighted,Urban-Principal Arterial-Interstate,Not an Intersection,f
73074,Rollover/Overturn,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
73075,Pedestrian,Dark - Not Lighted,Rural-Principal Arterial-Interstate,Not an Intersection,f
73076,Ditch,Dark - Lighted,Rural-Major Collector,Not an Intersection,f
73077,Fence,Daylight,Rural-Principal Arterial-Other,Not an Intersection,t
73078,Motor Vehicle In-Transport ,Daylight,Rural-Minor Arterial,T-Intersection,f
73079,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Principal Arterial-Other,Not an Intersection,f
73080,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Four-Way Intersection,f
73081,Ditch,Dark - Not Lighted,Rural-Local Road or Street,Not an Intersection,t
73082,"Other Post, Other Pole or Other Supports",Daylight,Rural-Minor Arterial,Not an Intersection,f
73083,Rollover/Overturn,Dark - Lighted,Urban-Other Principal Arterial,Not an Intersection,f
73084,Rollover/Overturn,Daylight,Rural-Major Collector,Not an Intersection,t
73085,Working Motor Vehicle ,Dark - Not Lighted,Rural-Principal Arterial-Interstate,Not an Intersection,t
73086,Ground,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
73087,Fence,Dark - Not Lighted,Rural-Minor Arterial,Not an Intersection,t
73088,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Principal Arterial-Other,Not an Intersection,t
73089,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Principal Arterial-Other,Not an Intersection,t
73090,Culvert,Daylight,Rural-Major Collector,Not an Intersection,f
73091,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Four-Way Intersection,f
73092,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Collector,Four-Way Intersection,t
73093,Rollover/Overturn,Dark - Not Lighted,Rural-Local Road or Street,Not an Intersection,t
73094,Motor Vehicle In-Transport ,Daylight,Urban-Local Road or Street,T-Intersection,f
73095,"Other Post, Other Pole or Other Supports",Dark - Not Lighted,Urban-Other Principal Arterial,Not an Intersection,t
73096,Tree (Standing Only),Dark - Lighted,Urban-Other Principal Arterial,Not an Intersection,t
73097,Ground,Daylight,Rural-Major Collector,Not an Intersection,t
73098,Pedalcyclist,Dark - Lighted,Urban-Minor Arterial,Not an Intersection,f
73099,"Other Post, Other Pole or Other Supports",Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
73100,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
73101,Motor Vehicle In-Transport ,Daylight,Urban-Local Road or Street,Not an Intersection,f
73102,Rollover/Overturn,Dark - Lighted,Urban-Other Principal Arterial,T-Intersection,f
73103,Motor Vehicle In-Transport ,Daylight,Rural-Local Road or Street,Four-Way Intersection,f
73104,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Not an Intersection,t
73105,Embankment,Daylight,Rural-Minor Collector,Not an Intersection,f
73106,Rollover/Overturn,Daylight,Rural-Major Collector,T-Intersection,f
73107,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,T-Intersection,f
73108,Motor Vehicle In-Transport ,Daylight,Rural-Major Collector,Four-Way Intersection,f
73109,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Not an Intersection,f
73110,Motor Vehicle In-Transport ,Daylight,Urban-Minor Arterial,Four-Way Intersection,f
73111,Motor Vehicle In-Transport ,Daylight,Urban-Minor Arterial,Not an Intersection,f
73112,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Four-Way Intersection,f
73113,Pedalcyclist,Daylight,Urban-Other Principal Arterial,Four-Way Intersection,f
73114,Pedestrian,Daylight,Rural-Local Road or Street,Not an Intersection,f
73115,Rollover/Overturn,Daylight,Rural-Minor Arterial,Not an Intersection,f
