detail_id,detail_information,light_condition,road_function,intersection_type,drunk_driving
73189,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
73190,Curb,Dark - Lighted,Urban-Local Road or Street,Not an Intersection,t
73191,Motor Vehicle In-Transport ,Dawn,Rural-Major Collector,Not an Intersection,f
73192,Motor Vehicle In-Transport ,Daylight,Rural-Minor Arterial,Not an Intersection,f
73193,Pedestrian,Daylight,Rural-Local Road or Street,Y-Intersection,t
73194,Motor Vehicle In-Transport ,Daylight,Rural-Major Collector,Four-Way Intersection,f
73195,Motor Vehicle In-Transport ,Daylight,Rural-Minor Arterial,Four-Way Intersection,f
73196,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
73197,Embankment,Dark - Not Lighted,Rural-Local Road or Street,Not an Intersection,t
73198,Motor Vehicle In-Transport ,Dusk,Rural-Local Road or Street,Four-Way Intersection,t
73199,"Other Post, Other Pole or Other Supports",Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
73200,Ditch,Dark - Not Lighted,Rural-Local Road or Street,Not an Intersection,f
73201,Curb,Dark - Lighted,Urban-Other Principal Arterial,Not an Intersection,t
73202,Wall,Daylight,Rural-Principal Arterial-Other,Not an Intersection,t
73203,Fence,Daylight,Rural-Major Collector,Not an Intersection,t
73204,Rollover/Overturn,Daylight,Rural-Major Collector,Not an Intersection,f
73205,Motor Vehicle In-Transport ,Daylight,Rural-Minor Arterial,Four-Way Intersection,f
73206,Motor Vehicle In-Transport ,Daylight,Rural-Minor Arterial,Not an Intersection,f
73207,Other Fixed Object,Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
73208,Ditch,Dark - Not Lighted,Rural-Local Road or Street,Not an Intersection,t
73209,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Minor Arterial,Four-Way Intersection,f
73210,Culvert,Dark - Not Lighted,Rural-Major Collector,Not an Intersection,f
73211,Rollover/Overturn,Dusk,Rural-Local Road or Street,Not an Intersection,f
73212,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Four-Way Intersection,f
73213,Parked Motor Vehicle ,Dark - Not Lighted,Urban-Local Road or Street,Not an Intersection,t
73214,"Other Post, Other Pole or Other Supports",Dark - Not Lighted,Rural-Principal Arterial-Other,Not an Intersection,t
73215,Motor Vehicle In-Transport ,Dark - Lighted,Rural-Principal Arterial-Other,Not an Intersection,t
73216,Rollover/Overturn,Dusk,Rural-Major Collector,Not an Intersection,f
73217,Motor Vehicle In-Transport ,Daylight,Rural-Minor Arterial,T-Intersection,f
73218,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Minor Arterial,T-Intersection,t
